# 这是接口或订阅源的白名单，白名单内的接口或订阅源获取的接口将不会参与测速，优先排序至结果最前。
# 填写频道名称会直接保留该记录至最终结果，如：CCTV-1,接口地址，只填写接口地址则对所有频道生效，多条记录换行输入。
# This is the whitelist of the interface or subscription source. The interface in the whitelist or the interface obtained by the subscription source will not participate in the speed measurement and will be prioritized in the result.
# Filling in the channel name will directly retain the record to the final result, such as: CCTV-1,url, only fill in the interface address will be effective for all channels, multiple records newline input.
汕头经济生活,http://113.64.197.180:19888/udp/239.77.1.131:5146
汕头文旅体育,http://113.64.197.180:19888/udp/239.77.1.132:5146
汕头新闻综合,http://113.64.197.180:19888/udp/239.77.1.130:5146
汕头经济生活,http://113.64.197.180:19888/udp/239.253.43.46:5146
汕头文旅体育,http://113.64.197.180:19888/udp/239.253.43.47:5146
汕头新闻综合,http://113.64.197.180:19888/udp/239.253.43.45:5146
揭阳公共,http://113.64.197.180:19888/udp/239.77.0.158:5146
揭阳生活,http://113.64.197.180:19888/udp/239.77.0.251:5146
揭阳综合,http://113.64.197.180:19888/udp/239.77.0.229:5146
潮州民生,http://113.64.197.180:19888/udp/239.253.43.75:5146
潮州综合,http://113.64.197.180:19888/udp/239.253.43.70:5146
汕尾文化生活,http://113.64.197.180:19888/udp/239.77.0.187:5146
汕尾新闻综合,http://113.64.197.180:19888/udp/239.77.0.25:5146

汕头经济生活,http://14.115.91.60:7878/udp/239.77.1.131:5146
汕头文旅体育,http://14.115.91.60:7878/udp/239.77.1.132:5146
汕头新闻综合,http://14.115.91.60:7878/udp/239.77.1.130:5146
汕头经济生活,http://14.115.91.60:7878/udp/239.253.43.46:5146
汕头文旅体育,http://14.115.91.60:7878/udp/239.253.43.47:5146
汕头新闻综合,http://14.115.91.60:7878/udp/239.253.43.45:5146
揭阳公共,http://14.115.91.60:7878/udp/239.77.0.158:5146
揭阳生活,http://14.115.91.60:7878/udp/239.77.0.251:5146
揭阳综合,http://14.115.91.60:7878/udp/239.77.0.229:5146
潮州民生,http://14.115.91.60:7878/udp/239.253.43.75:5146
潮州综合,http://14.115.91.60:7878/udp/239.253.43.70:5146
汕尾文化生活,http://14.115.91.60:7878/udp/239.77.0.187:5146
汕尾新闻综合,http://14.115.91.60:7878/udp/239.77.0.25:5146

潮阳,http://211.97.63.3:801/hls/531/index.m3u8
